"_","Id","Name","ProductCode","Description","IsActive","Category__c","Style__c","Color__c","Current_Stock__c","Size__c"
"[Product2]","01t4x000000C84kAAC","Black Leather Shoe","BLALS-001","Black leather shoes great for the office","true","Men Shoes","Business","Black","4","40"
"[Product2]","01t4x000000C84lAAC","Brown Leather Shoe","BROLS-001","Brown leather shoes great for the office","true","Men Shoes","Business","Brown","20","42"
"[Product2]","01t4x000000C84mAAC","Grey Leather Shoe","GRELS-001","Grey leather shoes great for the office","true","Men Shoes","Business","Grey","11","48"
"[Product2]","01t4x000000C84nAAC","Brown Suede Shoe","BROSS-001","Brown suede shoes great for the office","true","Men Shoes","Business","Brown","2","41"
"[Product2]","01t4x000000C84oAAC","White Vinyl Sneaker","WHIVS-001","White sneakers for outdoor activities","true","Men Shoes","Sneakers","White","3","43"
"[Product2]","01t4x000000C84pAAC","Black Vinyl Sneaker","BLAVS-001","Black sneakers for outdoor activities","true","Men Shoes","Sneakers","Black","5","44"
"[Product2]","01t4x000000C84qAAC","Brown Vinyl Shoe","BROVS-001","Casual brown vinyl shoes","true","Men Shoes","Casual","Brown","12","42"
"[Product2]","01t4x000000C84rAAC","Grey Vinyl Shoe","GREVS-001","Casual grey vinyl shoes","true","Men Shoes","Casual","Grey","10","49"
"[Product2]","01t4x000000C84sAAC","White Vinyl Sneaker","WHIVS-002","White sneakers for kids","true","Kid Shoes","Sneakers","White","20","20"
"[Product2]","01t4x000000C84tAAC","Black Vinyl Sneaker","BLAVS-002","Black sneakers for kids","true","Kid Shoes","Sneakers","Black","6","24"
"[Product2]","01t4x000000C84uAAC","Brown Vinyl Sneaker","BROVS-002","Brown sneakers for kids","true","Kid Shoes","Sneakers","Brown","13","26"
"[Product2]","01t4x000000C84vAAC","Grey Vinyl Sneaker","GREVS-002","Grey sneakers for kids","true","Kid Shoes","Sneakers","Grey","11","30"
"[Product2]","01t4x000000C84wAAC","Black High Heels","BLAHH-001","Black high heels for parties","true","Women Shoes","Casual","Black","19","36"
"[Product2]","01t4x000000C84xAAC","Black Boots","BLABO-001","Black boots for women","true","Women Shoes","Boots","Black","13","37"
"[Product2]","01t4x000000C84yAAC","White High Heels","WHIHH-001","White high heels for parties","true","Women Shoes","Casual","White","7","39"
"[Product2]","01t4x000000C84zAAC","Blue Boots","BLUBO-001","Blue boots for women","true","Women Shoes","Boots","Blue","2","40"
"[Product2]","01t4x000000C850AAC","Black Suede Shoe","BLASS-001","Black suede shoes great for the office","true","Men Shoes","Business","Black","5","50"
"[Product2]","01t4x000000C85AAAS","Black Wax","BLAWX","Black wax for boots","true","Accessories","Boots","Black","2",""
"[Product2]","01t4x000000C85BAAS","Brown Wax","BROWX","Brown wax for boots","true","Accessories","Boots","Brown","3",""
"[Product2]","01t4x000000C85CAAS","Grey Shoe Ties","GREY-T","Grey ties for shoes","true","Accessories","Casual","Grey","2",""
"[Product2]","01t4x000000C85DAAS","Black Shoe Ties","BLACK-T","Black ties for shoes","true","Accessories","Casual","Black","3",""
"[Product2]","01t4x000000C85EAAS","Blue Shoe Ties","BLUE-T","Blue ties for shoes","true","Accessories","Casual","Blue","4",""
"[Product2]","01t4x000000C85FAAS","White Shoe Ties","WHITE-T","White ties for shoes","true","Accessories","Casual","White","3",""
